Browser 2_Crosswalk 3_Chrome 4_SeaMonkey 5_Maxthon 6_AppEngine-Google 7_Firefox_Mobile 8_Other 9_Apple_Mail 10_QQ_Browser 11_Android 12_QQ_Browser_Mobile 13_BlackBerry_WebKit 14_Mobile_Safari_UI/WKWebView 15_Mobile_Safari 16_Mail.ru_Chromium_Browser 17_Samsung_Internet 18_Opera 19_Facebook 20_Safari 21_IE_Mobile 22_Pale_Moon 23_Netscape 24_Chrome_Mobile_iOS 25_Konqueror 26_UC_Browser 27_Amazon_Silk 28_HeadlessChrome 29_Thunderbird 30_Chrome_Mobile 31_Dragon 32_Edge_Mobile 33_Opera_Mobile 34_Puffin 35_Edge 36_Iron 37_IE 38_MobileIron 39_Vivaldi 40_Firefox 41_Yandex_Browser 42_Coc_Coc 43_Chromium 44_Seznam_prohle 45_Opera_Neon 46_Firefox_iOS 47_ThunderBrowse 48_Chrome_Mobile_WebView 49_Sogou_Explorer 50_QupZilla 
2018-2-14 0 29.9127757825 0 100.0 0 26.0869565217 0 0 0 24.0 0 50.0 50.0 32.9085457271 0 20.190023753 23.6111111111 0 24.584717608 0 0 0 50.0 0 100.0 20.0 0 0 29.6143250689 0 0 50.0 0 22.5 0 35.6687898089 0 33.3333333333 26.3653483992 100.0 0 50.0 0 0 0 0 25.0 0 0 
2018-2-15 0 31.8961520631 50.0 0 0 28.4210526316 0 0 0 28.0 0 0 0 33.2038834951 0 22.9398663697 33.7209302326 0 27.8106508876 28.5714285714 0 0 100.0 0 0 14.2857142857 0 0 28.5909712722 0 20.0 50.0 0 20.6642066421 50.0 39.7350993377 0 33.3333333333 29.9368800721 16.6666666667 0 20.0 0 0 0 0 26.3157894737 0 0 
2018-2-16 0 29.7606659729 0 25.0 0 14.7727272727 0 0 100.0 22.2222222222 0 0 50.0 30.668716372 0 17.0212765957 21.9512195122 0 20.1680672269 33.3333333333 0 0 25.0 0 0 30.0 0 0 22.9370629371 0 0 14.2857142857 0 21.3523131673 0 28.7671232877 0 0 25.6862745098 50.0 0 0 0 0 0 0 23.5294117647 0 0 
2018-2-17 0 25.6622516556 0 0 0 10.0 0 0 0 28.5714285714 0 0 66.6666666667 30.2462526767 0 19.6750902527 27.7108433735 0 30.5220883534 30.0 0 0 0 0 100.0 37.5 0 0 27.560718057 0 0 61.5384615385 0 25.6097560976 0 39.4957983193 100.0 57.1428571429 25.9043173862 0 0 50.0 0 0 0 0 30.7692307692 0 0 
2018-2-18 0 24.7582205029 0 0 0 17.7083333333 0 0 0 11.1111111111 0 100.0 66.6666666667 29.781420765 0 19.5754716981 32.2580645161 0 26.3959390863 22.2222222222 0 0 33.3333333333 0 50.0 16.6666666667 0 0 28.8043478261 0 0 20.0 0 16.25 0 29.6875 0 50.0 25.5847953216 28.5714285714 0 0 0 0 0 0 9.09090909091 0 0 
2018-2-19 0 26.5877287406 0 50.0 0 19.7183098592 0 0 0 20.0 0 0 100.0 30.081300813 0 16.1125319693 21.25 0 27.5471698113 0 0 0 50.0 0 33.3333333333 33.3333333333 0 0 30.46875 0 40.0 57.1428571429 100.0 20.9523809524 50.0 38.9261744966 0 50.0 26.973026973 9.09090909091 0 20.0 0 0 0 0 28.5714285714 0 0 
2018-2-20 0 24.5138178096 0 33.3333333333 0 24.5901639344 0 0 0 21.4285714286 0 0 66.6666666667 31.2096029548 0 21.7630853994 16.6666666667 0 23.1884057971 33.3333333333 0 0 50.0 0 33.3333333333 18.1818181818 0 0 27.1565495208 0 50.0 100.0 0 23.4146341463 33.3333333333 49.4505494505 0 33.3333333333 26.0599793175 75.0 50.0 0 0 0 0 0 36.3636363636 0 0 
2018-2-21 0 25.3001464129 0 100.0 0 25.641025641 100.0 0 0 0 0 0 0 32.6547685443 0 29.3706293706 47.972972973 0 26.2845849802 0 0 0 0 0 40.0 25.0 0 0 28.3296541575 0 0 50.0 100.0 26.7692307692 0 0 0 75.0 26.0974627467 28.5714285714 20.0 22.2222222222 0 0 0 0 17.6470588235 0 0 
2018-2-22 0 23.7373737374 40.0 0 0 23.1578947368 100.0 0 0 0 0 0 50.0 30.5246422893 0 28.6821705426 45.5882352941 0 26.3605442177 0 100.0 0 50.0 0 50.0 12.5 0 0 22.0504475183 0 0 0 100.0 22.6821192053 12.5 0 100.0 14.2857142857 23.811527135 28.5714285714 14.2857142857 18.1818181818 0 0 0 0 13.8888888889 0 0 
2018-2-23 0 25.1126851256 0 0 0 14.9700598802 0 0 0 0 0 0 40.0 30.0976620302 0 31.0511089682 34.2465753425 0 25.486381323 0 0 0 55.5555555556 0 0 6.25 0 0 19.2062367116 100.0 0 25.0 0 20.3174603175 33.3333333333 0 0 12.5 24.7619047619 55.5555555556 0 12.5 0 0 100.0 0 9.25925925926 0 0 
